-;Source #HC900000Q;Unit #NM000000T;2956;0.915
-;Well field #BX200000Z;Plant #JA200000I;107752;1.956
-;Well #YP000004F;Plant #JA200000I;37352;0.934
-;Unit #NM000000T;-;3442;-
-;Fountain #CA100000P;Module #CE100000E;93523;1.456
-;Resurgence #ZR000000Z;Plant #JA200000I;15843;1.075
-;Well #JM000003J;Module #CE100000E;10426;0.947
-;Well #PY000001I;Plant #JA200000I;39819;1.051
-;Spring #WJ000002R;Plant #JA200000I;20955;1.08
-;Plant #JA200000I;-;242097;-
-;Module #CE100000E;-;104824;-
-;Plant #JA200000I;Storage #00007;-;1.526
-;Module #CE100000E;Storage #00002;-;1.076
-;Plant #JA200000I;Storage #00009;-;1.207
Plant #JA200000I;Storage #00007;Junction #MN00007H;-;3.148
-;Plant #JA200000I;Storage #00010;-;1.326
Plant #JA200000I;Junction #MN00007H;Service #NW000041U;-;4.283
-;Plant #JA200000I;Storage #00004;-;1.647
Module #CE100000E;Storage #00002;Junction #SC00002Z;-;1.922
Plant #JA200000I;Storage #00004;Junction #DP00004G;-;1.814
Module #CE100000E;Junction #SC00002Z;Service #DU000003B;-;4.197
Plant #JA200000I;Storage #00009;Junction #YN00009P;-;1.801
Plant #JA200000I;Storage #00010;Junction #SE00010S;-;1.856
-;Unit #NM000000T;Storage #00001;-;0.167
Plant #JA200000I;Junction #DP00004G;Service #GH000017K;-;3.419
Unit #NM000000T;Storage #00001;Junction #RS00001J;-;1.702
Plant #JA200000I;Junction #MN00007H;Service #LA000051V;-;3.299
Module #CE100000E;Service #DU000003B;Cust #IB0000095Q;-;18.798
-;Plant #JA200000I;Storage #00006;-;1.221
Plant #JA200000I;Junction #YN00009P;Service #HK000066Q;-;7.446
Module #CE100000E;Service #DU000003B;Cust #TI0000114T;-;6.445
Module #CE100000E;Service #DU000003B;Cust #KL0000111K;-;9.412
Plant #JA200000I;Storage #00006;Junction #KT00006W;-;1.824
Module #CE100000E;Service #DU000003B;Cust #JF0000085D;-;9.302
-;Plant #JA200000I;Storage #00008;-;1.346
Plant #JA200000I;Junction #SE00010S;Service #CG000095I;-;3.243
Module #CE100000E;Service #DU000003B;Cust #HE0000101O;-;6.612
-;Plant #JA200000I;Storage #00003;-;1.646
Plant #JA200000I;Service #GH000017K;Cust #RL0000688E;-;9.786
Plant #JA200000I;Junction #SE00010S;Service #YT000108D;-;3.966
-;Plant #JA200000I;Storage #00005;-;1.509
Plant #JA200000I;Service #GH000017K;Cust #JP0000689M;-;8.913
Plant #JA200000I;Storage #00008;Junction #UG00008B;-;1.708
Plant #JA200000I;Service #GH000017K;Cust #VD0000726H;-;8.067
Plant #JA200000I;Storage #00005;Junction #BZ00005N;-;2.029
Plant #JA200000I;Junction #MN00007H;Service #RS000038B;-;2.867
Unit #NM000000T;Junction #RS00001J;Service #ME000002A;-;2.958
Plant #JA200000I;Storage #00003;Junction #MM00003K;-;1.591
Unit #NM000000T;Service #ME000002A;Cust #OX0000081H;-;9.078
Plant #JA200000I;Junction #KT00006W;Service #CR000033J;-;3.667
Plant #JA200000I;Junction #SE00010S;Service #UN000105L;-;4.347
Plant #JA200000I;Junction #YN00009P;Service #SP000070F;-;3.342
Plant #JA200000I;Junction #UG00008B;Service #TI000055L;-;3.318
Plant #JA200000I;Junction #BZ00005N;Service #OF000024C;-;2.964
Plant #JA200000I;Junction #KT00006W;Service #BU000031Y;-;3.67
Plant #JA200000I;Junction #UG00008B;Service #VB000054L;-;3.46
Plant #JA200000I;Junction #UG00008B;Service #JV000053R;-;3.947
Plant #JA200000I;Junction #BZ00005N;Service #EL000019K;-;3.708
Plant #JA200000I;Service #JV000053R;Cust #XE0002068K;-;9.643
Plant #JA200000I;Junction #SE00010S;Service #AO000096U;-;3.058
Plant #JA200000I;Service #GH000017K;Cust #QI0000664B;-;13.99
Plant #JA200000I;Junction #YN00009P;Service #JG000069Y;-;2.993
Plant #JA200000I;Service #JV000053R;Cust #JQ0002072T;-;9.38
Module #CE100000E;Service #DU000003B;Cust #IW0000118J;-;6.306
Unit #NM000000T;Service #ME000002A;Cust #WZ0000077X;-;7.187
Plant #JA200000I;Service #JV000053R;Cust #MD0002071B;-;6.643
Plant #JA200000I;Junction #SE00010S;Service #OY000103K;-;3.313
Unit #NM000000T;Service #ME000002A;Cust #VD0000073H;-;9.667
Module #CE100000E;Service #DU000003B;Cust #WO0000124E;-;7.033
Plant #JA200000I;Junction #SE00010S;Service #SO000101T;-;8.68
Plant #JA200000I;Junction #YN00009P;Service #VP000076J;-;3.725
Plant #JA200000I;Junction #MM00003K;Service #YW000013G;-;3.843
Plant #JA200000I;Service #JG000069Y;Cust #XT0002700K;-;7.908
Unit #NM000000T;Junction #RS00001J;Service #YM000001B;-;6.668
Plant #JA200000I;Junction #SE00010S;Service #XI000088T;-;3.324
Module #CE100000E;Service #DU000003B;Cust #RP0000102M;-;15.612
Module #CE100000E;Service #DU000003B;Cust #HF0000107H;-;8.901
Unit #NM000000T;Service #ME000002A;Cust #LE0000072M;-;13.596
Plant #JA200000I;Junction #YN00009P;Service #CJ000080R;-;2.932
Module #CE100000E;Service #DU000003B;Cust #XV0000126Q;-;15.012
Plant #JA200000I;Service #CR000033J;Cust #JM0001334E;-;16.802
Unit #NM000000T;Service #YM000001B;Cust #YD0000023V;-;6.866
Plant #JA200000I;Junction #BZ00005N;Service #CS000022E;-;3.337
Plant #JA200000I;Junction #MN00007H;Service #CL000037L;-;3.344
Unit #NM000000T;Service #ME000002A;Cust #MK0000074F;-;6.433
Plant #JA200000I;Junction #MN00007H;Service #SY000050P;-;8.242
Plant #JA200000I;Junction #BZ00005N;Service #DC000029A;-;3.178
Plant #JA200000I;Service #OF000024C;Cust #GT0001075H;-;18.782
Unit #NM000000T;Service #YM000001B;Cust #FZ0000010K;-;7.822
